code_parametre;cas;ppp_usage;ppp_usages_typiques;statut_ue;date_expiration;autorisation_france;mentions;pnec_ugl;mentions_danger
7871;736994-63-1;insecticide;"Tomate - Aubergine, Trt Part.Aer., Aleurodes; Tomate - Aubergine, Trt Part.Aer., Chenilles phytophages; Tomate - Aubergine, Trt Part.Aer., Mouches; Tomate - Aubergine, Trt Part.Aer., Pucerons; Tomate - Aubergine, Trt Part.Aer., Thrips; Cucurbitacées à peau non comestible, Trt Part.Aer., Aleurodes; Cucurbitacées à peau non comestible, Trt Part.Aer., Chenilles phytophages; Cucurbitacées à peau non comestible, Trt Part.Aer., Mouches";Approuvée;2026-09-14;Oui;;1.0;H400 H410
5567;120116-88-3;fongicide;"Tomate - Aubergine, Trt Part.Aer., Mildiou(s); Tabac, Trt Sol, Champignons (pythiacées); Arbres et arbustes, Trt Part.Aer., Maladies diverses (1); Cucurbitacées à peau comestible, Trt Part.Aer., Mildiou(s); Cultures florales et plantes vertes, Trt Part.Aer., Mildiou(s); Cucurbitacées à peau non comestible, Trt Part.Aer., Mildiou(s); Oignon, Trt Part.Aer., Mildiou(s); Pomme de terre, Trt Part.Aer., Mildiou(s)";Approuvée;2036-07-31;Oui;;1.07;H400 H410
2729;101205-02-1;herbicide;"Asperge, Désherbage; Céleris, Désherbage (1); Choux, Désherbage; Cultures florales et plantes vertes, Désherbage; Haricots, Désherbage (1); Légumineuses fourragères, Désherbage; Pavot, Désherbage; Betterave industrielle et fourragère, Désherbage";Approuvée;2026-08-31;Oui;;7.9;H361d
7748;180409-60-3;fongicide;"Artichaut, Trt Part.Aer., Oïdium(s); Fraisier, Trt Part.Aer., Oïdium(s); Arbres et arbustes, Trt Part.Aer., Oïdium(s); Cultures florales et plantes vertes, Trt Part.Aer., Oïdium(s); Cucurbitacées à peau comestible, Trt Part.Aer., Oïdium(s); Cucurbitacées à peau non comestible, Trt Part.Aer., Oïdium(s); Rosier, Trt Part.Aer., Oïdium(s); Tomate - Aubergine, Trt Part.Aer., Oïdium(s)";Approuvée;2027-06-30;Oui;;2.4;H410
1681;68359-37-5;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;;;;;
5569;122008-85-9;herbicide;Riz, Désherbage;Approuvée;2032-06-30;Oui;;6.37;H400 H410
2979;13121-70-5;insecticide;Lutte contre les insectes ravageurs des cultures ou des stockages.;Non approuvée;;;;;
1139;57966-95-7;fongicide;"Vigne, Trt Part.Aer., Mildiou(s); Tomate - Aubergine, Trt Part.Aer., Mildiou(s); Cucurbitacées à peau non comestible, Trt Part.Aer., Mildiou(s); Cucurbitacées à peau comestible, Trt Part.Aer., Mildiou(s); Pomme de terre, Trt Part.Aer., Mildiou(s); Vigne, Trt Part.Aer., Excoriose; Graines protéagineuses, Trt Sem., Champignons (pythiacées); Graines protéagineuses, Trt Sem., Champignons (autres que pythiacées)";Approuvée;2026-08-15;Oui;;4.4;H302 H317 H361fd H373 H400 H410
1140;52315-07-8;insecticide;"Maïs doux, Trt Sol, Ravageurs du sol; Maïs, Trt Sol, Ravageurs du sol; Sorgho, Trt Sol, Ravageurs du sol (1); Tournesol, Trt Sol, Ravageurs du sol; Pomme de terre, Trt Sol, Ravageurs du sol; Tomate - Aubergine, Trt Sol, Ravageurs du sol; Carotte, Trt Sol, Mouches; Carotte, Trt Sol, Ravageurs du sol";"Approuvée
Non approuvée";"2029-01-31
2020-12-01";Oui;;0.0017;H302 H332 H335 H373 H400 H410
1680;94361-06-5;fongicide;Protection des cultures contre les maladies fongiques (mildiou, oïdium, etc.).;Non approuvée;2021-05-31;;candidat à la substitution;;
